4 Iul. 2025	0.2305	+0.0017	0.74 %
3 Iul. 2025	0.2288	-0.0009	-0.39 %
2 Iul. 2025	0.2297	-0.0001	-0.04 %
1 Iul. 2025	0.2298	+0.0001	0.04 %
30 Iun. 2025	0.2297	-0.0001	-0.04 %
27 Iun. 2025	0.2298	+0.0004	0.17 %
26 Iun. 2025	0.2294	+0.0001	0.04 %
25 Iun. 2025	0.2293	+0.0006	0.26 %
24 Iun. 2025	0.2287	-0.0001	-0.04 %
23 Iun. 2025	0.2288	-0.0016	-0.69 %
20 Iun. 2025	0.2304	+0.0005	0.22 %
19 Iun. 2025	0.2299	-0.0006	-0.26 %
18 Iun. 2025	0.2305	+0.0011	0.48 %
17 Iun. 2025	0.2294	-0.0006	-0.26 %
16 Iun. 2025	0.2300	+0.0001	0.04 %
13 Iun. 2025	0.2299	+0.0005	0.22 %
12 Iun. 2025	0.2294	-0.0015	-0.65 %
11 Iun. 2025	0.2309	-0.0008	-0.35 %
10 Iun. 2025	0.2317	+0.0010	0.43 %
6 Iun. 2025	0.2307	+0.0003	0.13 %
5 Iun. 2025	0.2304	-0.0007	-0.3 %
4 Iun. 2025	0.2311	+0.0004	0.17 %
3 Iun. 2025	0.2307	+0.0017	0.74 %
2 Iun. 2025	0.2290	-0.0027	-1.17 %
30 Mai 2025	0.2317	-0.0002	-0.09 %
29 Mai 2025	0.2319	+0.0005	0.22 %
28 Mai 2025	0.2314	-0.0002	-0.09 %
27 Mai 2025	0.2316	+0.0002	0.09 %
26 Mai 2025	0.2314	+0.0002	0.09 %
23 Mai 2025	0.2312	+0.0005	0.22 %
22 Mai 2025	0.2307	-0.0013	-0.56 %
21 Mai 2025	0.2320	-0.0026	-1.11 %
20 Mai 2025	0.2346	+0.0051	2.22 %
19 Mai 2025	0.2295	-0.0046	-1.96 %
16 Mai 2025	0.2341	-0.0010	-0.43 %
15 Mai 2025	0.2351	+0.0009	0.38 %
14 Mai 2025	0.2342	-0.0002	-0.09 %
13 Mai 2025	0.2344	-0.0003	-0.13 %
12 Mai 2025	0.2347	+0.0015	0.64 %
9 Mai 2025	0.2332	+0.0017	0.73 %
8 Mai 2025	0.2315	+0.0032	1.4 %
7 Mai 2025	0.2283	+0.0028	1.24 %
6 Mai 2025	0.2255	+0.0010	0.45 %
5 Mai 2025	0.2245	+0.0013	0.58 %
2 Mai 2025	0.2232	-0.0010	-0.45 %
30 Apr. 2025	0.2242	+0.0017	0.76 %
29 Apr. 2025	0.2225	-0.0023	-1.02 %
28 Apr. 2025	0.2248	+0.0021	0.94 %
25 Apr. 2025	0.2227	-0.0006	-0.27 %
24 Apr. 2025	0.2233	+0.0002	0.09 %
23 Apr. 2025	0.2231	+0.0026	1.18 %
22 Apr. 2025	0.2205	+0.0010	0.46 %
17 Apr. 2025	0.2195	+0.0012	0.55 %
16 Apr. 2025	0.2183	-0.0004	-0.18 %
15 Apr. 2025	0.2187	+0.0024	1.11 %
14 Apr. 2025	0.2163	+0.0028	1.31 %
11 Apr. 2025	0.2135	-0.0075	-3.39 %
10 Apr. 2025	0.2210	+0.0044	2.03 %
9 Apr. 2025	0.2166	-0.0041	-1.86 %
8 Apr. 2025	0.2207	+0.0016	0.73 %
7 Apr. 2025	0.2191	-0.0058	-2.58 %
4 Apr. 2025	0.2249	-0.0001	-0.04 %
3 Apr. 2025	0.2250	-0.0016	-0.71 %
2 Apr. 2025	0.2266	+0.0017	0.76 %
1 Apr. 2025	0.2249	-0.0006	-0.27 %
31 Mart. 2025	0.2255	-0.0021	-0.92 %
28 Mart. 2025	0.2276	-0.0017	-0.74 %
27 Mart. 2025	0.2293	-0.0004	-0.17 %
26 Mart. 2025	0.2297	-0.0001	-0.04 %
25 Mart. 2025	0.2298	+0.0025	1.1 %
24 Mart. 2025	0.2273	-0.0003	-0.13 %
21 Mart. 2025	0.2276	0	0 %
20 Mart. 2025	0.2276	-0.0010	-0.44 %
19 Mart. 2025	0.2286	+0.0011	0.48 %
18 Mart. 2025	0.2275	-0.0016	-0.7 %
17 Mart. 2025	0.2291	+0.0011	0.48 %
14 Mart. 2025	0.2280	+0.0010	0.44 %
13 Mart. 2025	0.2270	+0.0016	0.71 %
12 Mart. 2025	0.2254	+0.0006	0.27 %
11 Mart. 2025	0.2248	-0.0017	-0.75 %
10 Mart. 2025	0.2265	+0.0003	0.13 %
7 Mart. 2025	0.2262	+0.0010	0.44 %
6 Mart. 2025	0.2252	-0.0016	-0.71 %
5 Mart. 2025	0.2268	-0.0003	-0.13 %
4 Mart. 2025	0.2271	-0.0060	-2.57 %
3 Mart. 2025	0.2331	-0.0012	-0.51 %
